"zpid","city","zipcode","propertyTaxRate","garageSpaces","hasAssociation","hasCooling","hasGarage","hasHeating","hasSpa","hasView","homeType","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
29429126,"austin",78753,1.98,1,0,1,1,1,0,0,"1",1,1971,309000,2,2020-07-13,7,2020,73,0,4,3,2,2,0,0,0,11761.2,1486,1,0,1,1,1.4,5,814,15,2,3,1
29429858,"austin",78758,1.98,0,0,1,0,1,0,0,"1",0,1972,410000,1,2019-02-27,2,2019,25,0,4,1,0,0,0,0,0,10759,1512,1,0,1,1,0.566666666666667,4,1028,14,2,3,1
29425625,"austin",78753,1.98,2,0,1,1,1,0,0,"1",2,1972,235000,4,2018-10-02,10,2018,26,0,1,2,0,0,0,0,0,7753,1304,1,0,1,1,1.2,5,814,15,2,3,1
29427358,"austin",78757,1.98,8,0,1,1,1,0,0,"8",8,1971,560000,2,2019-10-25,10,2019,2,0,0,3,0,0,0,0,0,8058,3872,1,0,1,1,0.666666666666667,4,1019,14,8,8,2
29425624,"austin",78753,1.98,2,0,1,1,1,1,0,"1",2,1972,299000,4,2020-12-11,12,2020,24,0,4,3,2,0,0,0,0,8363,1260,1,0,1,1,1.2,5,814,15,2,3,1
29429857,"austin",78758,1.98,2,0,1,1,1,0,0,"1",2,1970,485000,1,2020-06-16,6,2020,68,0,3,2,0,0,0,1,0,10497,1818,1,0,1,1,0.566666666666667,4,1028,14,2,4,1
29429114,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1966,329000,1,2018-07-17,7,2018,26,0,4,1,0,0,0,0,0,13068,1588,1,0,1,1,1.46666666666667,5,814,15,2,3,1
29423356,"austin",78758,1.98,0,0,1,0,1,0,1,"1",0,1969,372500,1,2019-04-23,4,2019,38,0,3,1,0,0,0,0,0,12196.8,1556,1,0,1,1,0.6,4,1028,14,2,3,1
29431355,"austin",78758,1.98,0,0,1,0,1,0,0,"1",0,1973,314999,1,2019-06-28,6,2019,15,0,2,1,1,0,0,0,0,7797,1382,1,0,1,1,0.866666666666667,3.66666666666667,1002,14,2,3,1
29429093,"austin",78753,1.98,2,0,1,1,1,0,0,"1",2,1982,225000,5,2019-10-23,10,2019,8,0,1,2,0,0,0,0,0,10715,1004,1,0,1,1,1.06666666666667,3.33333333333333,936,14,1,3,1
29423855,"austin",78753,1.98,10,0,1,1,1,1,0,"1",10,1949,525000,4,2020-12-31,12,2020,66,0,0,3,1,3,0,0,0,30492,1416,1,0,1,1,0.9,2.66666666666667,932,14,3,3,1
29427093,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1974,269900,3,2019-10-07,10,2019,1,0,3,1,0,0,0,0,0,7143,1226,1,0,1,1,1.33333333333333,5,814,15,2,3,1
29423354,"austin",78758,1.98,1,0,1,1,1,0,0,"1",1,1962,275000,2,2019-08-07,8,2019,53,0,5,2,2,1,0,0,0,9818,1014,1,0,1,1,0.566666666666667,4,1028,14,1,3,1
29427088,"austin",78753,1.98,2,0,1,1,1,1,0,"1",2,1979,489900,2,2020-10-22,10,2020,47,0,4,3,0,1,0,0,0,13503.6,2120,1,0,1,1,1.33333333333333,5,814,15,4,4,1
29429853,"austin",78758,1.98,0,0,1,0,1,0,0,"1",0,1971,299900,2,2019-09-09,9,2019,28,0,2,1,1,0,0,0,0,9060,1328,1,0,1,1,0.6,4,1028,14,2,4,1
29427487,"austin",78758,1.98,2,0,1,1,1,0,1,"1",2,1969,429900,4,2020-06-23,6,2020,113,0,3,2,1,0,0,0,0,7884,1601,1,0,1,1,0.466666666666667,4,1028,14,2,4,1
29425352,"austin",78758,1.98,2,0,1,1,1,0,0,"1",2,1969,479900,12,2020-08-21,8,2020,64,0,3,2,1,0,0,0,0,7927,1518,1,0,1,1,0.466666666666667,4,1028,14,2,4,1
29425583,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1973,225000,1,2018-05-11,5,2018,27,0,3,1,0,0,0,0,0,5880,1130,1,0,1,1,1.16666666666667,4,838,14,2,4,1
29427080,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1972,324900,3,2019-07-01,7,2019,27,0,3,1,1,0,0,0,0,7448,1193,1,0,1,1,1.33333333333333,5,814,15,2,3,1
29427076,"austin",78753,1.98,2,0,1,1,1,0,1,"1",2,1971,199900,5,2020-03-31,3,2020,57,0,5,3,0,0,0,0,0,13068,1800,1,0,1,1,1.36666666666667,5,814,15,1.75,3,1
29427075,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1972,307000,5,2018-04-11,4,2018,40,0,2,1,0,0,0,0,0,13068,1740,1,0,1,1,1.36666666666667,5,814,15,2,3,1
